"year","ccaa","codigo","situation","count","porcentaje"
2006,"Galicia","12","para_b_menos6m",41504,0.39
2006,"Galicia","12","parados",106078,0.04
2006,"Galicia","12","total",2380445,1
2006,"Madrid (Comunidad de)","13","activos",3227343,0.64
2006,"Madrid (Comunidad de)","13","asal_comp",2366426,0.9
2006,"Madrid (Comunidad de)","13","asal_indef",1877962,0.71
2006,"Madrid (Comunidad de)","13","asal_parc",177858,0.07
2006,"Madrid (Comunidad de)","13","asal_parc_inv",98985,0.04
2006,"Madrid (Comunidad de)","13","asal_temp",765312,0.29
2006,"Madrid (Comunidad de)","13","asalariados",2643270,0.87
2006,"Madrid (Comunidad de)","13","c_propia",380651,0.13
2006,"Madrid (Comunidad de)","13","inac_desanim",22751,0
2006,"Madrid (Comunidad de)","13","inactivos",1793542,0.36
2006,"Madrid (Comunidad de)","13","ocupados",3023923,0.6
2006,"Madrid (Comunidad de)","13","para_b_1a2a",23705,0.12
2006,"Madrid (Comunidad de)","13","para_b_2a4a",12358,0.06
2006,"Madrid (Comunidad de)","13","para_b_4mas_a",12506,0.06
2006,"Madrid (Comunidad de)","13","para_b_6ma1a",30449,0.15
2006,"Madrid (Comunidad de)","13","para_b_menos6m",93154,0.46
2006,"Madrid (Comunidad de)","13","parados",203423,0.04
2006,"Madrid (Comunidad de)","13","total",5020883,1
2006,"Melilla","19","activos",27431,0.54
2006,"Melilla","19","asal_comp",16634,0.87
2006,"Melilla","19","asal_indef",11914,0.63
2006,"Melilla","19","asal_parc",1453,0.08
2006,"Melilla","19","asal_parc_inv",957,0.05
2006,"Melilla","19","asal_temp",7134,0.37
2006,"Melilla","19","asalariados",19046,0.8
2006,"Melilla","19","c_propia",4655,0.2
2006,"Melilla","19","inac_desanim",883,0.02
2006,"Melilla","19","inactivos",23264,0.46
2006,"Melilla","19","ocupados",23702,0.47
2006,"Melilla","19","para_b_1a2a",1162,0.31
2006,"Melilla","19","para_b_2a4a",370,0.1
2006,"Melilla","19","para_b_4mas_a",530,0.14
2006,"Melilla","19","para_b_6ma1a",499,0.13
2006,"Melilla","19","para_b_menos6m",1479,0.4
2006,"Melilla","19","parados",3730,0.07
2006,"Melilla","19","total",50698,1
2006,"Murcia (Región de)","14","activos",658384,0.59
2006,"Murcia (Región de)","14","asal_comp",441035,0.87
2006,"Murcia (Región de)","14","asal_indef",291565,0.57
2006,"Murcia (Región de)","14","asal_parc",44975,0.09
2006,"Murcia (Región de)","14","asal_parc_inv",22295,0.04
2006,"Murcia (Región de)","14","asal_temp",216739,0.43
2006,"Murcia (Región de)","14","asalariados",508306,0.84
2006,"Murcia (Región de)","14","c_propia",98209,0.16
2006,"Murcia (Región de)","14","inac_desanim",3884,0
2006,"Murcia (Región de)","14","inactivos",450860,0.41
2006,"Murcia (Región de)","14","ocupados",606513,0.55
2006,"Murcia (Región de)","14","para_b_1a2a",13472,0.26
2006,"Murcia (Región de)","14","para_b_2a4a",6686,0.13
2006,"Murcia (Región de)","14","para_b_4mas_a",4286,0.08
2006,"Murcia (Región de)","14","para_b_6ma1a",12413,0.24
2006,"Murcia (Región de)","14","para_b_menos6m",37529,0.72
2006,"Murcia (Región de)","14","parados",51870,0.05
2006,"Murcia (Región de)","14","total",1109246,1
2006,"Nacional","0","activos",21779975,0.59
2006,"Nacional","0","asal_comp",14434564,0.88
2006,"Nacional","0","asal_indef",10825301,0.66
2006,"Nacional","0","asal_parc",1236474,0.08
2006,"Nacional","0","asal_parc_inv",719540,0.04
2006,"Nacional","0","asal_temp",5565277,0.34
2006,"Nacional","0","asalariados",16390578,0.82
2006,"Nacional","0","c_propia",3548518,0.18
2006,"Nacional","0","inac_desanim",229095,0.01
2006,"Nacional","0","inactivos",15362852,0.41
2006,"Nacional","0","ocupados",19939098,0.54
2006,"Nacional","0","para_b_1a2a",261467,0.14
2006,"Nacional","0","para_b_2a4a",139846,0.08
2006,"Nacional","0","para_b_4mas_a",126457,0.07
2006,"Nacional","0","para_b_6ma1a",264617,0.14
2006,"Nacional","0","para_b_menos6m",763750,0.41
2006,"Nacional","0","parados",1840882,0.05
2006,"Nacional","0","total",37142831,1
2006,"Navarra (Comunidad Foral de)","15","activos",302654,0.61
2006,"Navarra (Comunidad Foral de)","15","asal_comp",194615,0.85
2006,"Navarra (Comunidad Foral de)","15","asal_indef",158952,0.7
2006,"Navarra (Comunidad Foral de)","15","asal_parc",22716,0.1
2006,"Navarra (Comunidad Foral de)","15","asal_parc_inv",10894,0.05
2006,"Navarra (Comunidad Foral de)","15","asal_temp",69269,0.3
2006,"Navarra (Comunidad Foral de)","15","asalariados",228221,0.8
2006,"Navarra (Comunidad Foral de)","15","c_propia",58190,0.2
2006,"Navarra (Comunidad Foral de)","15","inac_desanim",2850,0.01
2006,"Navarra (Comunidad Foral de)","15","inactivos",193670,0.39
2006,"Navarra (Comunidad Foral de)","15","ocupados",286409,0.58
2006,"Navarra (Comunidad Foral de)","15","para_b_1a2a",2068,0.13
2006,"Navarra (Comunidad Foral de)","15","para_b_2a4a",1672,0.1
2006,"Navarra (Comunidad Foral de)","15","para_b_4mas_a",759,0.05
2006,"Navarra (Comunidad Foral de)","15","para_b_6ma1a",1627,0.1
2006,"Navarra (Comunidad Foral de)","15","para_b_menos6m",10068,0.62
2006,"Navarra (Comunidad Foral de)","15","parados",16244,0.03
2006,"Navarra (Comunidad Foral de)","15","total",496321,1
2006,"País Vasco","16","activos",1070153,0.58
2006,"País Vasco","16","asal_comp",678087,0.86
2006,"País Vasco","16","asal_indef",560296,0.71
2006,"País Vasco","16","asal_parc",71265,0.09
2006,"País Vasco","16","asal_parc_inv",41959,0.05
2006,"País Vasco","16","asal_temp",231016,0.29
2006,"País Vasco","16","asalariados",791311,0.8
2006,"País Vasco","16","c_propia",202180,0.2
2006,"País Vasco","16","inac_desanim",7752,0
2006,"País Vasco","16","inactivos",761336,0.42
2006,"País Vasco","16","ocupados",993489,0.54
2006,"País Vasco","16","para_b_1a2a",12090,0.16
2006,"País Vasco","16","para_b_2a4a",7025,0.09
2006,"País Vasco","16","para_b_4mas_a",8958,0.12
2006,"País Vasco","16","para_b_6ma1a",11567,0.15
2006,"País Vasco","16","para_b_menos6m",29456,0.38
2006,"País Vasco","16","parados",76664,0.04
2006,"País Vasco","16","total",1831490,1
2006,"Rioja (La)","17","activos",153788,0.6
2006,"Rioja (La)","17","asal_comp",99182,0.87
2006,"Rioja (La)","17","asal_indef",81585,0.71
2006,"Rioja (La)","17","asal_parc",10928,0.1
2006,"Rioja (La)","17","asal_parc_inv",4223,0.04
2006,"Rioja (La)","17","asal_temp",32751,0.29
2006,"Rioja (La)","17","asalariados",114336,0.79
2006,"Rioja (La)","17","c_propia",30050,0.21
2006,"Rioja (La)","17","inac_desanim",1154,0
2006,"Rioja (La)","17","inactivos",103928,0.4
2006,"Rioja (La)","17","ocupados",144382,0.56
2006,"Rioja (La)","17","para_b_1a2a",1244,0.13
2006,"Rioja (La)","17","para_b_2a4a",679,0.07
2006,"Rioja (La)","17","para_b_4mas_a",703,0.07
2006,"Rioja (La)","17","para_b_6ma1a",1824,0.19
2006,"Rioja (La)","17","para_b_menos6m",4068,0.43
2006,"Rioja (La)","17","parados",9401,0.04
2006,"Rioja (La)","17","total",257712,1
2007,"Andalucía","1","activos",3712158,0.56
2007,"Andalucía","1","asal_comp",2339145,0.88
2007,"Andalucía","1","asal_indef",1481942,0.56
2007,"Andalucía","1","asal_parc",169633,0.06
2007,"Andalucía","1","asal_parc_inv",155964,0.06
2007,"Andalucía","1","asal_temp",1182796,0.44
2007,"Andalucía","1","asalariados",2664740,0.82
2007,"Andalucía","1","c_propia",573881,0.18
2007,"Andalucía","1","inac_desanim",52569,0.01
2007,"Andalucía","1","inactivos",2870159,0.44
2007,"Andalucía","1","ocupados",3238621,0.49
2007,"Andalucía","1","para_b_1a2a",61804,0.13
2007,"Andalucía","1","para_b_2a4a",38116,0.08
2007,"Andalucía","1","para_b_4mas_a",37062,0.08
2007,"Andalucía","1","para_b_6ma1a",69830,0.15
2007,"Andalucía","1","para_b_menos6m",197711,0.42
2007,"Andalucía","1","parados",473540,0.07
2007,"Andalucía","1","total",6582318,1
2007,"Aragón","2","activos",658211,0.59
2007,"Aragón","2","asal_comp",448774,0.88
2007,"Aragón","2","asal_indef",367501,0.72
2007,"Aragón","2","asal_parc",42956,0.08
2007,"Aragón","2","asal_parc_inv",18845,0.04
2007,"Aragón","2","asal_temp",143075,0.28
2007,"Aragón","2","asalariados",510573,0.82
2007,"Aragón","2","c_propia",112753,0.18
2007,"Aragón","2","inac_desanim",3580,0
2007,"Aragón","2","inactivos",449286,0.41
2007,"Aragón","2","ocupados",623328,0.56
2007,"Aragón","2","para_b_1a2a",3991,0.11
2007,"Aragón","2","para_b_2a4a",2079,0.06
2007,"Aragón","2","para_b_4mas_a",1515,0.04
2007,"Aragón","2","para_b_6ma1a",4523,0.13
2007,"Aragón","2","para_b_menos6m",15665,0.45
2007,"Aragón","2","parados",34883,0.03
2007,"Aragón","2","total",1107494,1
2007,"Asturias (Principado de)","3","activos",476766,0.51
2007,"Asturias (Principado de)","3","asal_comp",311282,0.9
2007,"Asturias (Principado de)","3","asal_indef",244443,0.7
2007,"Asturias (Principado de)","3","asal_parc",22363,0.06
2007,"Asturias (Principado de)","3","asal_parc_inv",14144,0.04
2007,"Asturias (Principado de)","3","asal_temp",103348,0.3
2007,"Asturias (Principado de)","3","asalariados",347789,0.8
2007,"Asturias (Principado de)","3","c_propia",88870,0.2
2007,"Asturias (Principado de)","3","inac_desanim",5824,0.01
2007,"Asturias (Principado de)","3","inactivos",466584,0.49
2007,"Asturias (Principado de)","3","ocupados",436663,0.46
2007,"Asturias (Principado de)","3","para_b_1a2a",4637,0.12
2007,"Asturias (Principado de)","3","para_b_2a4a",5543,0.14
2007,"Asturias (Principado de)","3","para_b_4mas_a",5092,0.13
2007,"Asturias (Principado de)","3","para_b_6ma1a",6194,0.15
2007,"Asturias (Principado de)","3","para_b_menos6m",13800,0.34
2007,"Asturias (Principado de)","3","parados",40102,0.04
2007,"Asturias (Principado de)","3","total",943351,1
2007,"Balears (Illes)","4","activos",549046,0.64
2007,"Balears (Illes)","4","asal_comp",374081,0.9
2007,"Balears (Illes)","4","asal_indef",296331,0.71
2007,"Balears (Illes)","4","asal_parc",31723,0.08
2007,"Balears (Illes)","4","asal_parc_inv",12101,0.03
2007,"Balears (Illes)","4","asal_temp",121566,0.29
2007,"Balears (Illes)","4","asalariados",417898,0.82
2007,"Balears (Illes)","4","c_propia",91809,0.18
2007,"Balears (Illes)","4","inac_desanim",1482,0
2007,"Balears (Illes)","4","inactivos",303548,0.36
2007,"Balears (Illes)","4","ocupados",509707,0.6
2007,"Balears (Illes)","4","para_b_1a2a",2627,0.07
2007,"Balears (Illes)","4","para_b_2a4a",2136,0.05
2007,"Balears (Illes)","4","para_b_4mas_a",774,0.02
2007,"Balears (Illes)","4","para_b_6ma1a",4938,0.13
2007,"Balears (Illes)","4","para_b_menos6m",19597,0.5
2007,"Balears (Illes)","4","parados",39340,0.05
2007,"Balears (Illes)","4","total",852594,1
2007,"Canarias","5","activos",995185,0.61
2007,"Canarias","5","asal_comp",693672,0.9
2007,"Canarias","5","asal_indef",479667,0.62
2007,"Canarias","5","asal_parc",43652,0.06
2007,"Canarias","5","asal_parc_inv",32193,0.04
2007,"Canarias","5","asal_temp",289847,0.38
2007,"Canarias","5","asalariados",769515,0.86
2007,"Canarias","5","c_propia",121636,0.14
2007,"Canarias","5","inac_desanim",5941,0
2007,"Canarias","5","inactivos",638156,0.39
2007,"Canarias","5","ocupados",891146,0.55
2007,"Canarias","5","para_b_1a2a",15136,0.15
2007,"Canarias","5","para_b_2a4a",8060,0.08
2007,"Canarias","5","para_b_4mas_a",6534,0.06
2007,"Canarias","5","para_b_6ma1a",16106,0.15
2007,"Canarias","5","para_b_menos6m",42453,0.41
2007,"Canarias","5","parados",104037,0.06
2007,"Canarias","5","total",1633340,1
2007,"Cantabria","6","activos",278184,0.57
2007,"Cantabria","6","asal_comp",189614,0.9
2007,"Cantabria","6","asal_indef",150108,0.71
2007,"Cantabria","6","asal_parc",12378,0.06
2007,"Cantabria","6","asal_parc_inv",8732,0.04
2007,"Cantabria","6","asal_temp",60615,0.29
2007,"Cantabria","6","asalariados",210725,0.81
2007,"Cantabria","6","c_propia",50886,0.19
2007,"Cantabria","6","inac_desanim",2464,0.01
2007,"Cantabria","6","inactivos",213015,0.43
2007,"Cantabria","6","ocupados",261610,0.53
2007,"Cantabria","6","para_b_1a2a",1830,0.11
2007,"Cantabria","6","para_b_2a4a",1387,0.08
2007,"Cantabria","6","para_b_4mas_a",1582,0.1
2007,"Cantabria","6","para_b_6ma1a",2401,0.14
2007,"Cantabria","6","para_b_menos6m",8296,0.5
2007,"Cantabria","6","parados",16572,0.03
2007,"Cantabria","6","total",491197,1
2007,"Castilla y León","7","activos",1165226,0.54
2007,"Castilla y León","7","asal_comp",744548,0.88
2007,"Castilla y León","7","asal_indef",611693,0.73
2007,"Castilla y León","7","asal_parc",57062,0.07
2007,"Castilla y León","7","asal_parc_inv",41411,0.05
2007,"Castilla y León","7","asal_temp",231329,0.27
2007,"Castilla y León","7","asalariados",843022,0.78
2007,"Castilla y León","7","c_propia",239127,0.22
2007,"Castilla y León","7","inac_desanim",12438,0.01
2007,"Castilla y León","7","inactivos",1003337,0.46
2007,"Castilla y León","7","ocupados",1082150,0.5
2007,"Castilla y León","7","para_b_1a2a",13460,0.16
2007,"Castilla y León","7","para_b_2a4a",8870,0.11
2007,"Castilla y León","7","para_b_4mas_a",7062,0.09
2007,"Castilla y León","7","para_b_6ma1a",15591,0.19
2007,"Castilla y León","7","para_b_menos6m",46192,0.56
2007,"Castilla y León","7","parados",83078,0.04
2007,"Castilla y León","7","total",2168565,1
2007,"Castilla-La Mancha","8","activos",936826,0.57
2007,"Castilla-La Mancha","8","asal_comp",613685,0.89
2007,"Castilla-La Mancha","8","asal_indef",452149,0.66
2007,"Castilla-La Mancha","8","asal_parc",46692,0.07
2007,"Castilla-La Mancha","8","asal_parc_inv",28628,0.04
2007,"Castilla-La Mancha","8","asal_temp",236855,0.34
2007,"Castilla-La Mancha","8","asalariados",689009,0.8
2007,"Castilla-La Mancha","8","c_propia",176032,0.2
2007,"Castilla-La Mancha","8","inac_desanim",11100,0.01
2007,"Castilla-La Mancha","8","inactivos",716568,0.43
2007,"Castilla-La Mancha","8","ocupados",865039,0.52
2007,"Castilla-La Mancha","8","para_b_1a2a",9763,0.14
2007,"Castilla-La Mancha","8","para_b_2a4a",5776,0.08
2007,"Castilla-La Mancha","8","para_b_4mas_a",3966,0.06
2007,"Castilla-La Mancha","8","para_b_6ma1a",10584,0.15
2007,"Castilla-La Mancha","8","para_b_menos6m",34480,0.48
2007,"Castilla-La Mancha","8","parados",71788,0.04
2007,"Castilla-La Mancha","8","total",1653397,1
2007,"Cataluña","9","activos",3824113,0.63
2007,"Cataluña","9","asal_comp",2627493,0.88
2007,"Cataluña","9","asal_indef",2284218,0.76
2007,"Cataluña","9","asal_parc",271794,0.09
2007,"Cataluña","9","asal_parc_inv",95981,0.03
2007,"Cataluña","9","asal_temp",711050,0.24
2007,"Cataluña","9","asalariados",2995269,0.84
2007,"Cataluña","9","c_propia",581314,0.16
2007,"Cataluña","9","inac_desanim",11306,0
