"ccaa","year","codigo","variable","value","porcentaje"
"Balears (Illes)","2008",4,"parados_tb_1a2a",4856,0.0835915444467396
"Balears (Illes)","2008",4,"parados_tb_6ma1a",6849,0.117899194381326
"Balears (Illes)","2008",4,"parados_tb_menos6m",33019,0.568391516904221
"Balears (Illes)","2008",4,"inac_desanimados",2109,0.00685018270401949
"Balears (Illes)","2008",4,"inactivos",307875,0.350071577769616
"Canarias","2008",5,"total",1999030,1
"Canarias","2008",5,"menores",329119,0.164639350084791
"Canarias","2008",5,"mayores",1669911,0.835360649915209
"Canarias","2008",5,"activos",1015002,0.607818021439466
"Canarias","2008",5,"ocupados",839927,0.827512655147478
"Canarias","2008",5,"asalariados",728069,0.866824140669368
"Canarias","2008",5,"asal_temporal",244964,0.336457121509088
"Canarias","2008",5,"asal_temp_obra",90576,0.369752290132428
"Canarias","2008",5,"asal_temp_sustitucion",23645,0.0965243872569031
"Canarias","2008",5,"asal_temp_prueba",2329,0.00950751947224898
"Canarias","2008",5,"asal_temp_verbal",12548,0.0512238533008932
"Canarias","2008",5,"asal_temp_formacion",4392,0.0179291651018109
"Canarias","2008",5,"asal_temp_circ_produccion",72734,0.296917098022567
"Canarias","2008",5,"asal_temp_temporada",9179,0.0374708120376872
"Canarias","2008",5,"asal_temp_otro",4002,0.016337094430202
"Canarias","2008",5,"asal_temp_ns",25559,0.104337780245261
"Canarias","2008",5,"asal_indef",483105,0.663542878490912
"Canarias","2008",5,"asal_indef_permanente",475922,0.985131596650832
"Canarias","2008",5,"asal_indef_discontinuo",7183,0.0148684033491684
"Canarias","2008",5,"asal_completa",655611,0.900479212821862
"Canarias","2008",5,"asal_parcial",72458,0.0995207871781383
"Canarias","2008",5,"asal_parcial_involuntaria",34003,0.469278754588865
"Canarias","2008",5,"asal_horas_pactadas",38,NA
"Canarias","2008",5,"asal_horas_hab",39,NA
"Canarias","2008",5,"asal_horas_dif",1,NA
"Canarias","2008",5,"asal_horas_extra",22276,0.0305960012031827
"Canarias","2008",5,"asal_extra_pagadas",22,NA
"Canarias","2008",5,"asal_extra_nopagadas",13,NA
"Canarias","2008",5,"parados",175076,0.172488330072256
"Canarias","2008",5,"parados_nuevo_emp",14050,0.080250862482579
"Canarias","2008",5,"parados_busca",161026,0.919749137517421
"Canarias","2008",5,"parados_no_busca",0,0
"Canarias","2008",5,"parados_tb_4mas_a",7150,0.0408394068861523
"Canarias","2008",5,"parados_tb_2a4a",12699,0.0725342137129018
"Canarias","2008",5,"parados_tb_1a2a",23699,0.135364070460828
"Canarias","2008",5,"parados_tb_6ma1a",32287,0.184417053165482
"Canarias","2008",5,"parados_tb_menos6m",80830,0.461685210994083
"Canarias","2008",5,"inac_desanimados",9044,0.0138095521667896
"Canarias","2008",5,"inactivos",654909,0.392181978560534
"Cantabria","2008",6,"total",575702,1
"Cantabria","2008",6,"menores",78473,0.136308367870878
"Cantabria","2008",6,"mayores",497229,0.863691632129122
"Cantabria","2008",6,"activos",284671,0.572514877450833
"Cantabria","2008",6,"ocupados",264281,0.928373455673391
"Cantabria","2008",6,"asalariados",211650,0.800852123308145
"Cantabria","2008",6,"asal_temporal",57114,0.269851169383416
"Cantabria","2008",6,"asal_temp_obra",26937,0.471635676016388
"Cantabria","2008",6,"asal_temp_sustitucion",5915,0.103564800224113
"Cantabria","2008",6,"asal_temp_prueba",261,0.00456980775291522
"Cantabria","2008",6,"asal_temp_verbal",1790,0.0313408271176944
"Cantabria","2008",6,"asal_temp_formacion",2401,0.042038729558427
"Cantabria","2008",6,"asal_temp_circ_produccion",7250,0.126939104247645
"Cantabria","2008",6,"asal_temp_temporada",2120,0.0371187449662079
"Cantabria","2008",6,"asal_temp_otro",2233,0.0390972441082747
"Cantabria","2008",6,"asal_temp_ns",8206,0.143677557166369
"Cantabria","2008",6,"asal_indef",154536,0.730148830616584
"Cantabria","2008",6,"asal_indef_permanente",152775,0.98860459698711
"Cantabria","2008",6,"asal_indef_discontinuo",1761,0.0113954030128902
"Cantabria","2008",6,"asal_completa",190757,0.901285140562249
"Cantabria","2008",6,"asal_parcial",20893,0.098714859437751
"Cantabria","2008",6,"asal_parcial_involuntaria",8867,0.424400516919542
"Cantabria","2008",6,"asal_horas_pactadas",38,NA
"Cantabria","2008",6,"asal_horas_hab",38,NA
"Cantabria","2008",6,"asal_horas_dif",1,NA
"Cantabria","2008",6,"asal_horas_extra",12027,0.0568249468462084
"Cantabria","2008",6,"asal_extra_pagadas",21,NA
"Cantabria","2008",6,"asal_extra_nopagadas",14,NA
"Cantabria","2008",6,"parados",20389,0.0716230314995205
"Cantabria","2008",6,"parados_nuevo_emp",2367,0.116092010397763
"Cantabria","2008",6,"parados_busca",18022,0.883907989602236
"Cantabria","2008",6,"parados_no_busca",0,0
"Cantabria","2008",6,"parados_tb_4mas_a",725,0.0355583893275786
"Cantabria","2008",6,"parados_tb_2a4a",1221,0.0598852322330668
"Cantabria","2008",6,"parados_tb_1a2a",1650,0.0809259895041444
"Cantabria","2008",6,"parados_tb_6ma1a",3650,0.179018097994016
"Cantabria","2008",6,"parados_tb_menos6m",9365,0.459316298003826
"Cantabria","2008",6,"inac_desanimados",2086,0.00981379200030109
"Cantabria","2008",6,"inactivos",212558,0.427485122549167
"Castilla y León","2008",7,"total",2502836,1
"Castilla y León","2008",7,"menores",323740,0.129349266192431
"Castilla y León","2008",7,"mayores",2179096,0.870650733807569
"Castilla y León","2008",7,"activos",1189543,0.545888294962682
"Castilla y León","2008",7,"ocupados",1075152,0.903836179104076
"Castilla y León","2008",7,"asalariados",832985,0.774760219950295
"Castilla y León","2008",7,"asal_temporal",216138,0.259474060157146
"Castilla y León","2008",7,"asal_temp_obra",92819,0.429443226087037
"Castilla y León","2008",7,"asal_temp_sustitucion",22118,0.102332768879142
"Castilla y León","2008",7,"asal_temp_prueba",2715,0.012561419093357
"Castilla y León","2008",7,"asal_temp_verbal",7324,0.0338857581730191
"Castilla y León","2008",7,"asal_temp_formacion",8355,0.0386558587569053
"Castilla y León","2008",7,"asal_temp_circ_produccion",27921,0.129181356355662
"Castilla y León","2008",7,"asal_temp_temporada",8591,0.039747753749919
"Castilla y León","2008",7,"asal_temp_otro",14833,0.0686274509803922
"Castilla y León","2008",7,"asal_temp_ns",31462,0.145564407924567
"Castilla y León","2008",7,"asal_indef",616847,0.740525939842854
"Castilla y León","2008",7,"asal_indef_permanente",611410,0.991185820795108
"Castilla y León","2008",7,"asal_indef_discontinuo",5437,0.00881417920489198
"Castilla y León","2008",7,"asal_completa",735621,0.88311434179487
"Castilla y León","2008",7,"asal_parcial",97364,0.11688565820513
"Castilla y León","2008",7,"asal_parcial_involuntaria",38561,0.396049874697013
"Castilla y León","2008",7,"asal_horas_pactadas",37,NA
"Castilla y León","2008",7,"asal_horas_hab",38,NA
"Castilla y León","2008",7,"asal_horas_dif",1,NA
"Castilla y León","2008",7,"asal_horas_extra",61949,0.0743698866126041
"Castilla y León","2008",7,"asal_extra_pagadas",22,NA
"Castilla y León","2008",7,"asal_extra_nopagadas",14,NA
"Castilla y León","2008",7,"parados",114391,0.0961638208959239
"Castilla y León","2008",7,"parados_nuevo_emp",10935,0.0955931847785228
"Castilla y León","2008",7,"parados_busca",103456,0.904406815221477
"Castilla y León","2008",7,"parados_no_busca",0,0
"Castilla y León","2008",7,"parados_tb_4mas_a",6685,0.0584399122308573
"Castilla y León","2008",7,"parados_tb_2a4a",8630,0.0754429981379654
"Castilla y León","2008",7,"parados_tb_1a2a",13847,0.121049732933535
"Castilla y León","2008",7,"parados_tb_6ma1a",17052,0.149067671407716
"Castilla y León","2008",7,"parados_tb_menos6m",52309,0.457282478516667
"Castilla y León","2008",7,"inac_desanimados",15909,0.0160769559589027
"Castilla y León","2008",7,"inactivos",989553,0.454111705037318
"Castilla-La Mancha","2008",8,"total",2027889,1
"Castilla-La Mancha","2008",8,"menores",337141,0.1662521962494
"Castilla-La Mancha","2008",8,"mayores",1690748,0.8337478037506
"Castilla-La Mancha","2008",8,"activos",974874,0.576593318460232
"Castilla-La Mancha","2008",8,"ocupados",861068,0.883260811140722
"Castilla-La Mancha","2008",8,"asalariados",681664,0.79164943999777
"Castilla-La Mancha","2008",8,"asal_temporal",217045,0.318404668575721
"Castilla-La Mancha","2008",8,"asal_temp_obra",89488,0.412301596443134
